State,Amaretto,Caffe Latte,Caffe Mocha,Chamomile,Columbian,Darjeeling,Decaf Espresso,Decaf Irish Cream,Earl Grey,Green Tea,Lemon,Mint,Regular Espresso
California,-76,152.8333333,30.16666667,110.6666667,291.5,116.0833333,223.75,-132.25,79.5,45.83333333,185.3333333,52.91666667,
Colorado,115.8333333,,79.66666667,90.66666667,53.25,12.41666667,46,110.5833333,28,43.08333333,-4.833333333,27.58333333,
Connecticut,,,0.083333333,,101.4166667,41.25,22.75,,,20.58333333,33.5,38.16666667,
Florida,,,19.91666667,26,78.5,32,59.08333333,92.83333333,,45.83333333,16.91666667,48,
Illinois,,,223.5833333,115.6666667,148.5,79.41666667,152.75,117.9166667,46.16666667,,53.33333333,110.75,
Iowa,12.83333333,,14,223.5833333,7.166666667,152.5,29.66666667,6.416666667,190.9166667,,118,,
Louisiana,,0,49.16666667,50.83333333,38.66666667,,31.08333333,46,,,33.58333333,,
Massachusetts,,,-9.916666667,,425.4166667,23.91666667,,,,16.58333333,12.41666667,,90.91666667
Missouri,,,41.41666667,-5.666666667,33.41666667,12.5,34.25,38.08333333,-7.083333333,-1.5,-23.25,,
Nevada,,29.75,12.75,30.16666667,-1.5,223.6666667,13.91666667,7.166666667,152.8333333,-372.75,148.25,117.6666667,
New Hampshire,34.41666667,,-5.583333333,,30.58333333,12.83333333,,,,30,-1.416666667,,-7.083333333
New Mexico,,-7,-5.416666667,12.83333333,30.75,,12.58333333,-23.16666667,,,6.916666667,,
New York,,,-216.1666667,,291.5,110.75,,,115.6666667,79.25,208,-162.6666667,257.1666667
Ohio,27.75,,90.5,16.66666667,27.91666667,78.5,12,-4.583333333,92.75,,23.83333333,,
Oklahoma,,92.66666667,16.58333333,16.83333333,43.16666667,,78.5,23.66666667,,,19.5,,
Oregon,-4.75,12.08333333,27.66666667,24,13.25,16.41666667,90.5,28.16666667,78.66666667,92.83333333,43,,
Texas,,45.83333333,116,27.33333333,185.4166667,,79.58333333,53.25,,,28,,
Utah,38.25,34.08333333,50.83333333,34.41666667,22.91666667,-5.25,41.33333333,33.16666667,12.5,-7,30.83333333,-23.16666667,
Washington,,26.08333333,16.58333333,101.4166667,56.58333333,49.08333333,48.25,19.25,31,-0.25,38.75,,
Wisconsin,16.91666667,,48.25,49,19.66666667,30.91666667,26.08333333,59.16666667,0,,45.58333333,,
